Seed: 5576
Command script saved to: /data01/lyw/GLoMo/experiments/urfunny_baseline_seed5576/command.sh
total parameter for the model:  111841464
epoch:43, train_loss:0.0114, valid_loss:1.8431, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7117, f_average:0.7113
epoch:44, train_loss:0.0042, valid_loss:2.0311, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7146, f_average:0.7143
epoch:45, train_loss:0.0053, valid_loss:2.1715, test_acc:0.7153
current acc2:0.7153, f_weighted:0.7154, f_average:0.7153
epoch:46, train_loss:0.0074, valid_loss:2.1257, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7174, f_average:0.7173
epoch:47, train_loss:0.0109, valid_loss:1.9836, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7196, f_average:0.7183
epoch:48, train_loss:0.0054, valid_loss:2.1468, test_acc:0.7203
current acc2:0.7203, f_weighted:0.7228, f_average:0.7203
epoch:49, train_loss:0.0037, valid_loss:2.0304, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7120, f_average:0.7113
epoch:50, train_loss:0.0065, valid_loss:2.2481, test_acc:0.7022
current acc2:0.7022, f_weighted:0.7033, f_average:0.7022
epoch:51, train_loss:0.0063, valid_loss:2.0780, test_acc:0.7274
current acc2:0.7274, f_weighted:0.7276, f_average:0.7274
epoch:52, train_loss:0.0020, valid_loss:2.3279, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7162, f_average:0.7143
epoch:53, train_loss:0.0057, valid_loss:2.2462, test_acc:0.6972
current acc2:0.6972, f_weighted:0.6978, f_average:0.6972
epoch:54, train_loss:0.0086, valid_loss:1.9651, test_acc:0.7052
current acc2:0.7052, f_weighted:0.7053, f_average:0.7052
epoch:55, train_loss:0.0032, valid_loss:2.0876, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7095, f_average:0.7093
epoch:56, train_loss:0.0049, valid_loss:2.1134, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7123, f_average:0.7123
epoch:57, train_loss:0.0029, valid_loss:2.1110, test_acc:0.7042
current acc2:0.7042, f_weighted:0.7042, f_average:0.7042
epoch:58, train_loss:0.0038, valid_loss:2.2600, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7186, f_average:0.7173
epoch:59, train_loss:0.0021, valid_loss:2.2246, test_acc:0.7213
current acc2:0.7213, f_weighted:0.7219, f_average:0.7213
epoch:60, train_loss:0.0112, valid_loss:2.4210, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7157, f_average:0.7082
epoch:61, train_loss:0.0060, valid_loss:2.0590, test_acc:0.7213
current acc2:0.7213, f_weighted:0.7214, f_average:0.7213
epoch:62, train_loss:0.0023, valid_loss:2.3356, test_acc:0.7233
current acc2:0.7233, f_weighted:0.7233, f_average:0.7233
epoch:63, train_loss:0.0046, valid_loss:2.4546, test_acc:0.7062
current acc2:0.7062, f_weighted:0.7069, f_average:0.7062
epoch:64, train_loss:0.0076, valid_loss:2.2430, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7173, f_average:0.7173
epoch:65, train_loss:0.0046, valid_loss:2.1219, test_acc:0.7042
current acc2:0.7042, f_weighted:0.7051, f_average:0.7042
epoch:66, train_loss:0.0042, valid_loss:2.0291, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7146, f_average:0.7123
epoch:67, train_loss:0.0049, valid_loss:1.8473, test_acc:0.7012
current acc2:0.7012, f_weighted:0.7017, f_average:0.7012
epoch:68, train_loss:0.0022, valid_loss:2.5124, test_acc:0.6922
current acc2:0.6922, f_weighted:0.6972, f_average:0.6922
epoch:69, train_loss:0.0045, valid_loss:2.2391, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7178, f_average:0.7173
epoch:70, train_loss:0.0077, valid_loss:1.9965, test_acc:0.7163
current acc2:0.7163, f_weighted:0.7165, f_average:0.7163
epoch:71, train_loss:0.0018, valid_loss:2.2021, test_acc:0.7284
current acc2:0.7284, f_weighted:0.7285, f_average:0.7284
epoch:72, train_loss:0.0020, valid_loss:2.4457, test_acc:0.7163
current acc2:0.7163, f_weighted:0.7165, f_average:0.7163
epoch:73, train_loss:0.0030, valid_loss:2.3458, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7184, f_average:0.7183
epoch:74, train_loss:0.0077, valid_loss:2.0418, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7115, f_average:0.7113
epoch:75, train_loss:0.0034, valid_loss:2.1696, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7061, f_average:0.7032
epoch:76, train_loss:0.0032, valid_loss:2.1598, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7043, f_average:0.7032
epoch:77, train_loss:0.0021, valid_loss:2.6185, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7146, f_average:0.7113
epoch:78, train_loss:0.0055, valid_loss:2.3283, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7125, f_average:0.7123
epoch:79, train_loss:0.0029, valid_loss:2.2434, test_acc:0.7062
current acc2:0.7062, f_weighted:0.7069, f_average:0.7062
epoch:80, train_loss:0.0022, valid_loss:2.2889, test_acc:0.7042
current acc2:0.7042, f_weighted:0.7042, f_average:0.7042
epoch:81, train_loss:0.0013, valid_loss:2.2705, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7104, f_average:0.7103
epoch:82, train_loss:0.0004, valid_loss:2.4250, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7104, f_average:0.7093
epoch:83, train_loss:0.0017, valid_loss:2.3629, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7033, f_average:0.7032
epoch:84, train_loss:0.0002, valid_loss:2.4429, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7033, f_average:0.7032
epoch:85, train_loss:0.0003, valid_loss:2.5266, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7082, f_average:0.7082
epoch:86, train_loss:0.0002, valid_loss:2.5790, test_acc:0.7062
current acc2:0.7062, f_weighted:0.7063, f_average:0.7062
epoch:87, train_loss:0.0014, valid_loss:2.6335, test_acc:0.6992
current acc2:0.6992, f_weighted:0.6996, f_average:0.6992
epoch:88, train_loss:0.0009, valid_loss:2.5507, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7103, f_average:0.7103
epoch:89, train_loss:0.0003, valid_loss:2.5990, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7103, f_average:0.7103
epoch:90, train_loss:0.0002, valid_loss:2.6898, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7092, f_average:0.7093
epoch:91, train_loss:0.0005, valid_loss:2.7330, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7035, f_average:0.7032
epoch:92, train_loss:0.0001, valid_loss:2.7741, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7103, f_average:0.7103
epoch:93, train_loss:0.0006, valid_loss:2.7972, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7082, f_average:0.7082
epoch:94, train_loss:0.0007, valid_loss:2.7944, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7034, f_average:0.7032
epoch:95, train_loss:0.0001, valid_loss:2.8641, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7034, f_average:0.7032
epoch:96, train_loss:0.0001, valid_loss:2.9031, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7102, f_average:0.7103
epoch:97, train_loss:0.0002, valid_loss:2.8522, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7113, f_average:0.7113
epoch:98, train_loss:0.0015, valid_loss:2.8834, test_acc:0.7042
current acc2:0.7042, f_weighted:0.7045, f_average:0.7042
epoch:99, train_loss:0.0001, valid_loss:2.9469, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7085, f_average:0.7082
Metrics summary saved to: /data01/lyw/GLoMo/experiments/urfunny_baseline_seed5576/metrics.json
